"story_id","story_title","story_english_title","category_name"
1,"वह हँस दिया","Veh Hans Diyaa","Fiction"
1,"वह हँस दिया","Veh Hans Diyaa","Family & Friends"
1,"वह हँस दिया","Veh Hans Diyaa","Animal Stories"
2,"Smile Please!","Smile Please!","Fiction"
2,"Smile Please!","Smile Please!","Family & Friends"
2,"Smile Please!","Smile Please!","Fiction"
2,"Smile Please!","Smile Please!","Family & Friends"
2,"Smile Please!","Smile Please!","Animal Stories"
2,"Smile Please!","Smile Please!","Animal Stories"
4,"ସେ ହସିଦେଲା","Se Hasidela","Fiction"
4,"ସେ ହସିଦେଲା","Se Hasidela","Family & Friends"
4,"ସେ ହସିଦେଲା","Se Hasidela","Animal Stories"
4,"ସେ ହସିଦେଲା","Se Hasidela","Animal Stories"
4,"ସେ ହସିଦେଲା","Se Hasidela","Family & Friends"
4,"ସେ ହସିଦେଲା","Se Hasidela","Fiction"
5,"ਉਹ ਹੱਸ ਪਿਆ","Oh Has Pia","Fiction"
5,"ਉਹ ਹੱਸ ਪਿਆ","Oh Has Pia","Family & Friends"
5,"ਉਹ ਹੱਸ ਪਿਆ","Oh Has Pia","Animal Stories"
5,"ਉਹ ਹੱਸ ਪਿਆ","Oh Has Pia","Animal Stories"
5,"ਉਹ ਹੱਸ ਪਿਆ","Oh Has Pia","Family & Friends"
5,"ਉਹ ਹੱਸ ਪਿਆ","Oh Has Pia","Fiction"
6,"একটুখানি হাসি","Ektukhani Hashi","Fiction"
6,"একটুখানি হাসি","Ektukhani Hashi","Family & Friends"
6,"একটুখানি হাসি","Ektukhani Hashi","Animal Stories"
6,"একটুখানি হাসি","Ektukhani Hashi","Animal Stories"
6,"একটুখানি হাসি","Ektukhani Hashi","Family & Friends"
6,"একটুখানি হাসি","Ektukhani Hashi","Fiction"
7,"Fat King Thin Dog","Fat King Thin Dog","Fiction"
7,"Fat King Thin Dog","Fat King Thin Dog","Funny"
7,"Fat King Thin Dog","Fat King Thin Dog","Animal Stories"
8,"मोटा राजा दुबला कुत्ता","Mota Raja Dubla Kutta","Funny"
8,"मोटा राजा दुबला कुत्ता","Mota Raja Dubla Kutta","Animal Stories"
8,"मोटा राजा दुबला कुत्ता","Mota Raja Dubla Kutta","Animal Stories"
8,"मोटा राजा दुबला कुत्ता","Mota Raja Dubla Kutta","Fiction"
8,"मोटा राजा दुबला कुत्ता","Mota Raja Dubla Kutta","Funny"
8,"मोटा राजा दुबला कुत्ता","Mota Raja Dubla Kutta","Fiction"
9,"ಡುಮ್ಮರಾಜ  ಸಣಕಲು ನಾಯಿ","Dummaraja Sanakalu Naayi","Fiction"
9,"ಡುಮ್ಮರಾಜ  ಸಣಕಲು ನಾಯಿ","Dummaraja Sanakalu Naayi","Funny"
9,"ಡುಮ್ಮರಾಜ  ಸಣಕಲು ನಾಯಿ","Dummaraja Sanakalu Naayi","Animal Stories"
9,"ಡುಮ್ಮರಾಜ  ಸಣಕಲು ನಾಯಿ","Dummaraja Sanakalu Naayi","Animal Stories"
9,"ಡುಮ್ಮರಾಜ  ಸಣಕಲು ನಾಯಿ","Dummaraja Sanakalu Naayi","Fiction"
9,"ಡುಮ್ಮರಾಜ  ಸಣಕಲು ನಾಯಿ","Dummaraja Sanakalu Naayi","Funny"
10,"लठ्ठ राजाचा कुत्रा","Lattha Raajaachaa Kutraa","Fiction"
10,"लठ्ठ राजाचा कुत्रा","Lattha Raajaachaa Kutraa","Funny"
10,"लठ्ठ राजाचा कुत्रा","Lattha Raajaachaa Kutraa","Animal Stories"
10,"लठ्ठ राजाचा कुत्रा","Lattha Raajaachaa Kutraa","Animal Stories"
10,"लठ्ठ राजाचा कुत्रा","Lattha Raajaachaa Kutraa","Fiction"
10,"लठ्ठ राजाचा कुत्रा","Lattha Raajaachaa Kutraa","Funny"
11,"જાડો - પાડો રાજા અને સુકલકડી કુતરો","Jado Pado Raja Ane Sukalakadi Kutaro","Fiction"
